Nehézség;Kérdés;A;B;C;D;Válasz;Kategória
9;Kinek a képe látható a magyar kártya zöld alsóján?;Rudenz Ulrich;Reding Itell;Fürst Walter;Harras Rudolf;C;JÁTÉK
10;Milyen az útszél Tóth Árpád Áprilisi capriccio című versében?;esőáztatta;naptól tüzes;csupa pitypang;madárdaltól hangos;C;IRODALOM
1;Mit szeret az az ember, akit rongyrázónak neveznek?;nagyzolni;táncolni;mosogatni;port törölni;A;ÁLTALÁNOS
2;Melyik ország államelnöke Fidel Castro?;Mexikó;Jamaica;Kuba;Panama;C;TÖRTÉNELEM
3;Melyik kémiai elemet használják a víz fertőtlenítésére?;a brómot;a mangánt;a klórt;a magnéziumot;C;TUDOMÁNY
4;Mit neveztek a régi magyarok Hadak útjának?;a honfoglalás útvonalát;a Tejutat;a Bécs felé vezető főutat;a nászutat;B;TÖRTÉNELEM
5;Az alábbiak közül melyiket nevezik bricskának?;vitorlás hajót;lovas kocsit;zsebkést;térdnadrágot;B;NYELV
6;Kiről nevezték el vulkánnak a tűzhányókat?;egy római istenről;egy mongol uralkodóról;egy szigetről;egy ókori városról;A;NYELV
7;Meddig nevezünk egy tehenet üszőnek?;egy hónapos koráig;míg nem ellik;két éves koráig;az utolsó ellésig;B;BIOLÓGIA
8;Hogy "becézik" a párizsiak az Eiffel-tornyot?;az óriás;a fúrótorony;a zsiráf;az öreg hölgy;D;ÁLTALÁNOS
9;Melyik rockzenész kapta 2000-ben a legtöbb Grammy-díjat?;Phil Collins;Stevie Wonder;Carlos Santana;Eric Clapton;C;ZENE
10;Hányas számú mezt viselte Puskás Öcsi az Aranycsapatban?;10-es;9-es;8-as;11-es;A;SPORT
11;Kinek a meséje alapján írta meg Ránki György a "Pomádé király új ruhája" című operát?;Grimm-testvérek;Benedek Elek;La Fontaine;Andersen;D;OPERA
1;Hogy hívják a pálinkafőzéshez erjesztett gyümölcslét?;cifra;cefre;cvikker;cekker;B;KONYHA
2;Mit jeleznek oktánszámokkal?;lóversenyek helyezéseit;az acél terhelhetőségét;a benzin minőségét;hangterjedelmet;C;ÁLTALÁNOS
3;Melyik ma is élő állat hossza haladhatja meg a 30 métert?;palackorrú delfin;kékbálna;robusztuskígyó;gigantoteknős;B;BIOLÓGIA
4;Melyik fegyverről kapta nevét a számítógép merev mágneslemezes tárolója?;a torpedóról;a revolverről;a winchesterről;a coltról;C;ÁLTALÁNOS
5;Melyik fa levele látható Kanada címerében?;juhar;tölgy;gyertyán;nyír;A;ORSZÁGOK
6;Hol látogathatjuk meg Magyarországon a Kovács Margit Múzeumot?;Kaposváron;Pécsett;Pápán;Szentendrén;D;MAGYARORSZÁG
7;Milyen rokont neveztek ipának?;az apóst;az anyóst;a sógort;a nagybácsit;A;ÁLTALÁNOS
8;Mi a neve a szegedi dómnak?;Szent István székesegyház;Fogadalmi templom;Szent György-templom;Kálvária-templom;B;VALLÁS
9;Melyik magyar együttes nagylemeze volt a "Zenegép"?;Fonográf;Generál;Karthago;Corvina;B;ZENE
10;Kit győzött le Cornelius Scipio Kr.e. 202-ben a zámai csatában?;Nagy Sándort;Spartacust;Hannibált;Dareioszt;C;TÖRTÉNELEM
11;Melyik sportágban szereztük első világbajnoki aranyérmünket?;asztaliteniszben;vívásban;műkorcsolyában;sportlövészetben;C;SPORT
1;Mi a vargánya?;suszterinas;gombafajta;gázlómadárfajta;cipészszerszám;B;NYELV
2;Kije volt Rocinantének don Quijote?;lova;gazdája;szolgálója;szerelme;B;IRODALOM
3;Miről híres a milánói Scala?;operaelőadásairól;spagettijéről;fagylaltjáról;ásványtani kiállításairól;A;ÁLTALÁNOS
4;Az alábbiak közül melyik egy egyárbócos vitorlás neve?;dingi;diné;dimer;dzsigg;A;SPORT
5;Melyik hangszer művésze volt Rácz Aladár?;cimbalom;citera;cseleszta;klarinét;A;OPERA
6;Mi az ókori egyiptomiak szent bogarának, a szkarabeusznak a mai neve?;szarvasbogár;katicabogár;galacsinhajtó bogár;kőrisbogár;C;BIOLÓGIA
7;Hol történt a "pálfordulás"?;Tarsusban;Jeruzsálemben;a damaszkuszi úton;a Rómába vezető úton;C;TÖRTÉNELEM
8;Kik voltak a négusok?;közép-afrikai törzs;etióp császárok;amerikai rabszolgák;pretoriai polgárjogi harcosok;B;TÖRTÉNELEM
1;Milyen eszközről nevezetes Gábor Áron?;rézágyúról;vízágyúról;viharágyúról;gulyáságyúról;A;TÖRTÉNELEM
2;Milyen ételt neveztek el a Fekete gyémántok írójáról?;tyúkhúslevest;marhahúslevest;bablevest;a feketelevest;C;IRODALOM
3;Melyik Párizs folyója?;Szajna;Rhöne;Garonne;Loire;A;FÖLDRAJZ
4;Melyik együttes slágere volt a "The Wall"?;Pink Floyd;Genesis;Rolling Stones;Queen;A;ZENE
5;Melyik országban uralkodott a Napkirály?;Franciaország;Oroszország;Ausztria;Spanyolország;A;TÖRTÉNELEM
6;Mi a kapcsolat Pollack Mihály és a Nemzeti Múzeum épülete között?;ő volt az első igazgatója;ő tervezte;adománnyal segítette;ő restaurálta;B;TÖRTÉNELEM
7;Milyen alakú baktériumok a bacilusok?;pálcika;gömb;csavar;kúp;A;BIOLÓGIA
8;Hány stációt járt végig Jézus Krisztus a keresztúton?;7;14;10;12;B;VALLÁS
9;Ki fedezte fel a penicilint?;Sir Alexander Fleming;Paul Ehrlich;Howard Temin;Robert Koch;A;BIOLÓGIA
10;Melyik város híres strandja a Copacabana?;Barcelona;Rio de Janeiro;Havanna;Buenos Aires;B;ORSZÁGOK
11;Ki nem játszotta a legendás James Bondot?;Sean Connery;George Lazenby;Timothy Hutton;Timothy Dalton;C;FILM
12;Ki volt a legnagyobb ragtime-zeneszerző?;Scott Joplin;Irving Berlin;Glenn Miller;Cole Porter;A;ZENE
13;Mit jelent magyarul a még ma is létező mohikán törzs neve?;a bölény fia;sebes ló;medve;farkas;D;NYELV
1;Mire használják a franciakulcsot?;a Louvre bezárására;erényövek nyitására;anyacsavar meghúzására;nyelvtanulásra;C;ÁLTALÁNOS
2;Melyik vásári szórakozóhelyről kapta címét Fábri Zoltán klasszikus filmje?;Céllövölde;Hullámvasút;Körhinta;Vurstli;C;FILM
3;Mikor izzik a galagonya ruhája Weöres Sándor versében?;amikor felpróbálja;ha tűzbe tartják;őszi éjjel;szedés közben;C;IRODALOM
4;Ki tervezte az Országház épületét?;Lotz Károly;Steindl Imre;Schulek Frigyes;Alpár Ignác;B;ÉPÍTÉSZET
5;Melyik operát írta Verdi a Szuezi-csatorna megnyitása kapcsán?;a Rigolettót;az Otellót;a Traviatát;az Aidát;D;OPERA
6;Mi az angol trónörökös hagyományos címe?;Lord Mayor;infáns;windsori herceg;walesi herceg;D;ÁLTALÁNOS
7;Ki mondta, hogy nincs a teremtésben vesztes, csak ő?;Hamlet;Bánk bán;Ádám;Rómeó;B;IRODALOM
8;Melyik városban rendezték az 1956-os melbourne-i olimpia lovasversenyeit?;Stockholm;Sydney;London;Wellington;A;SPORT
1;Mi látható Törökország zászlaján?;egy félhold;egy fél nap;egy fél felhő;egy fél villám;A;ORSZÁGOK
2;A régi családoknál a gardedám szinte családtagnak számít. Ki volt ő?;a kotnyeles szomszéd;az udvarló fess gárdatiszt;a hölgykisérő;a hűséges eb;C;ÁLTALÁNOS
3;Mire használják Alexander Bell találmányát?;motorozásra;telefonálásra;repülésre;távírásra;B;TECHNIKA
4;Hányas számrendszer a bináris számrendszer?;tizes;hetes;tizenkettes;kettes;D;TUDOMÁNY
5;Milyen hangszer készítőjeként vált híressé Stradivari?;zongora;gitár;hegedű;nagybőgő;C;OPERA
6;Melyik rock-együttes énekese volt Freddie Mercury?;AC/DC;Rolling Stones;Queen;Led Zeppelin;C;ZENE
7;Amerika melyik botrányáról szól Az elnök emberei című film?;a Lewinsky-ügyről;a Kennedy-gyilkosságról;a Watergate-ügyről;a Reagan-merényletről;C;FILM
8;Ki volt a sakálfejű isten az egyiptomi mitológiában?;Ozirisz;Ízisz;Anubisz;Ámon-Ré;C;VALLÁS
9;A kakaó melyik rokonát használják üditőital gyártására?;a gyömbért;a kóladiót;a kokacserjét;a kinint;B;KONYHA
10;Melyik ökölvívónk nyert ezüstérmet az 1972-es müncheni olimpián váltósúlyban?;Kajdi János;Gedó György;Botos András;Orbán László;A;SPORT
1;Hogyan fejezi ki a mondás, hogy hamarosan nagyobb pénzösszegre teszünk szert?;lóg a pénzeső lába;benéz a lé az ablakon;ki korán kel, telt bukszát lel;pénz áll a házhoz;D;NYELV
2;Az alábbiak közül melyik egy sakkfigura elnevezése?;kuruc;labanc;huszár;hajdú;C;JÁTÉK
3;Mit kapott, akinek a számítógépén e-mail van?;új merevlemezt;elektronikus levelet;bővítőkártyát;új hajlékonylemezt;B;ÁLTALÁNOS
4;Melyik sportág nemzetközi szövetsége a FIFA?;bírkózás;kosárlabda;labdarúgás;kerékpározás;C;SPORT
5;Az alábbiak közül ki vagy mi a laboda?;bűntetőeszköz;gyomnövény;a labdarúgó régiesen;énekesmadár;B;NYELV
6;Melyik ország nem szigetország?;Sri Lanka;Írország;Honduras;Tajvan;C;FÖLDRAJZ
1;Melyik konyhai eszköz lehet az ágyú szó előtagja?;tölcsér;reszelő;mozsár;szita;C;KONYHA
2;Milyen "autó" szerepel a legendás 1934-es magyar film címében?;csoda;kurblis;mese;tizennégy karátos;C;FILM
3;Az alábbiak közül melyik indítja meg a gázkeverék robbanását a belsőégésű motorban?;gyújtózsinór;gyújtólencse;gyújtógyertya;gyutacs;C;TECHNIKA
4;Hogy becézik a Republic együttes frontemberét?;Cipő;Cipó;Papucs;Hobó;A;ZENE
5;Mit szeret az, aki kedveli az anagrammákat?;egy ókori versfajtát;egy ételkülönlegességet;kisebb tárgyak gyűjtését;nyelvi játékokat;D;NYELV
6;Hol élnek a jegesmedvék?;az Északi-sarkon;a Déli-sarkon;mindkét sarkvidéken;Dél-Ausztráliában;A;BIOLÓGIA
7;Milyen szín nem szerepel Németország zászlajában?;fekete;zöld;sárga;vörös;B;ORSZÁGOK
8;Ki írt zongoraversenyt balkézre?;Liszt Ferenc;Ravel;Chopin;Rahmanyinov;B;OPERA
1;Milyen "szem" van a kerékpárokon?;sas;macska;vakond;kutya;B;TECHNIKA
2;Mely testrészünknek lehet utótagja a halak petéje, az ikra?;fül;kar;láb;derék;C;BIOLÓGIA
3;Melyik papi méltóságról kapta nevét egy sütemény?;érsek;püspök;kanonok;bíboros;B;KONYHA
4;Melyik részét fogyasztják a kelbimbónak?;levelét;szárát;rügyeit;virágát;C;KONYHA
5;Mit kapott az az ember, akinek szépiát vittek ajándékba?;mezei virágot;csokoládés süteményt;tintahalat;elegáns szeszes italt;C;NYELV
1;Melyik állatnak "ég a háza ideki" az ismert gyermekdal szerint?;medve;csiga;kutya;méhecske;B;ÁLTALÁNOS
2;Mi volt az eredeti foglalkozása Ronald Reagannek?;festő;szobrász;színész;zenész;C;TÖRTÉNELEM
3;Folytassa a mondást! "Madarat tolláról, embert ...";családjáról;barátjáról;ruhájáról;munkájáról;B;NYELV
4;Hova megy, aki a turfra indul?;bankba;kaszinóba;tőzsdére;lóversenypályára;D;ÁLTALÁNOS
5;Milyen gyümölcs "a magyar narancs" A tanú című nagysikerű vígjátékban?;mandarin;grapefruit;citrom;tök;C;FILM
6;Melyik munka eszköze a vetélő?;fonás;vetés;szövés;aratás;C;TECHNIKA
7;Melyik magyar futballbíró lett háromszor egymás után a világ legjobb játékvezetője?;Puhl Sándor;Palotai Károly;Zsolt István;Vágner László;A;SPORT
8;Melyik vidék festőjének nevezik Egry Józsefet?;a Balaton;a Hortobágy;Budapest;Szeged;A;KÉPZŐMŰVÉSZET
9;Ki tervezte az autógyártásban először alkalmazott futószalagrendszert?;Galamb József;Henry Ford;Bíró László;Louis Renault;A;TECHNIKA
1;Melyik "káposzta" egy étel elnevezése?;csupros;lucskos;mocskos;löttyedt;B;KONYHA
2;Milyen színű drágakő a rubin?;kék;vörös;sárga;színtelen;B;ÁLTALÁNOS
3;Az alábbiak közül melyik egy szőlőfajta neve?;desdemona;otelló;rómeó;prosperó;B;BIOLÓGIA
4;Az alábbiak közül mit neveznek tandemnek?;női fehérneműt;kétüléses kerékpárt;tanári szemléltetőeszközt;kétfedelű repülőgépet;B;NYELV
5;Milyen állatok láthatók a Laokón-csoport nevű híres szobron?;sasok;kígyók;oroszlánok;farkasok;B;KÉPZŐMŰVÉSZET
6;Melyik betegség ellen védenek a Sabin-cseppek?;torokgyík;gyermekbénulás;szamárköhögés;tuberkolózis;B;BIOLÓGIA
7;Melyik úszónemben győzött háromszor Kovács Ági az 1999-es isztambuli Európa-bajnokságon?;gyorsúszásban;hátúszásban;pillangóúszásban;mellúszásban;D;SPORT
8;Ki a zeneszerzője a "Magyar táncok"-nak?;Brahms;Liszt Ferenc;Smetana;Dohnányi Ernő;A;OPERA
9;Melyik Walt Disney-rajzfilmhez komponált dalokat Elton John?;Pocahontas;Oroszlánkirály;Herkules;Aladdin;B;FILM
10;Mely országban található a méneséről híres Lipica helység?;Horvátország;Szlovénia;Ausztria;Szlovákia;B;ORSZÁGOK
11;Milyen hangszert neveztek el a múzsák lakhelyéről?;ütőst;vonóst;fúvóst;billentyűst;C;OPERA
12;Melyik USA tagállam területén található a Grand Canyon?;Nevada;Colorado;Arizona;Utah;C;FÖLDRAJZ
13;Ki győzte le Spartacust, az ókori rabszolgafelkelés vezetőjét?;Scipio;Pompeius;Julius Caesar;Crassus;D;TÖRTÉNELEM
1;Hova kéne menni pulykakakast venni az ismert dal szerint?;Badacsonyba;Debrecenbe;Kőbányára;pulykafarmra;B;ÁLTALÁNOS
2;Hova jut be egy színházban az, akit beengednek a kulisszák mögé?;a büfé mögé;a díszlet mögé;a zsinórpadlásra;a zenekari árokba;B;ÁLTALÁNOS
3;Minek az őse volt a velocipéd?;orrszarvú;tornacipő;repülő;kerékpár;D;NYELV
4;Milyen nyelv a BASIC?;javított eszperantó;kódolt titkosírás;számítógépes programnyelv;madárnyelv;C;ÁLTALÁNOS
5;Melyik magyar labdarúgó klubcsapat szerezte addig a legtöbb bajnokságot?;Kispest Honvéd;Újpest;Vasas;Ferencváros;D;SPORT
6;Melyik növény szárított húsa a kopra?;kivi;kókuszdió;licsi;kesudió;B;BIOLÓGIA
7;Melyik pályaudvar csarnokát építette az Eiffel-cég?;Déli pályaudvar;Keleti pályaudvar;Józsefvárosi pályaudvar;Nyugati pályaudvar;D;ÁLTALÁNOS
8;Ki vitte a magyar zászlót az atlantai olimpián?;Benedek Tibor;Gyulai Zsolt;Kovács István;Szabó Bence;D;SPORT
9;Hogy nevezik a zsidó húsvétot?;Peszah;Purim;Jom kippur;macesz;A;VALLÁS
1;Milyen déligyümölcs szerepel Bartók "csodálatos" táncjátékának címében?;füge;banán;mandarin;kókusz;C;OPERA
2;Milyen tulajdonsággal szokták jellemezni a nyulat?;ritka;szapora;eszes;ravasz;B;ÁLTALÁNOS
3;Mi tartja pályájukon az égitesteket?;az égellenállás;a gravitáció;a fénysebesség;a szaturáció;B;TUDOMÁNY
4;Melyik ókori nép viselete volt a tunika?;a suméroké;az egyiptomiaké;a rómaiaké;a kínaiaké;C;TÖRTÉNELEM
5;Melyik az uralkodó vallás Indiában?;hindu;buddhista;szikh;muzulmán;A;VALLÁS
1;Hogy nevezzük a gyermekkorban kihulló fogakat?;tejfog;vízfog;fűrészfog;teafog;A;BIOLÓGIA
2;Melyik ország Kanada egyetlen szomszédja?;Brazília;Mexikó;Oroszország;Amerikai Egyesült Államok;D;FÖLDRAJZ
3;Milyen élőlény járt elsőként a világűrben?;kutya;macska;majom;tengerimalac;A;ÁLTALÁNOS
4;Mi a porcelángyártás fő alapanyaga?;kvarc;gyanta;kaolin;polisztirol;C;TECHNIKA
1;Egy magyar népdal szerint melyik gyümölcs érik, amikor hajlik a vessző?;narancs;banán;dinnye;szőlő;D;ÁLTALÁNOS
2;Melyik férfinevünkből származik egy díszes kabátfajta elnevezése?;Attila;Levente;Botond;Huba;A;ÁLTALÁNOS
3;Milyen állat a dromedár?;egypúpú teve;kétpúpú teve;szamár és öszvér utóda;ló és öszvér utóda;A;BIOLÓGIA
4;Melyik országban láthatók a Meteóra-kolostorok?;Bulgáriában;Törökországban;Oroszországban;Görögországban;D;ORSZÁGOK
5;Melyik város modern épülete a Pompidou központ?;Bordeaux;Párizs;Genf;Montreal;B;ORSZÁGOK
6;Melyik ország uralkodója volt Krisztina királynő, akit filmen Greta Garbo is megszemélyesített?;Norvégia;Dánia;Svédország;Finnország;C;TÖRTÉNELEM
7;Melyik szervünk betegsége a gümőkór?;a fogé;a májé;a bőré;a tüdőé;D;BIOLÓGIA
8;Melyik magyar labdarúgó volt a legtöbbször válogatott?;Fazekas László;Hidegkúti Nándor;Albert Flórián;Bozsik József;D;SPORT
1;Milyen kerti szerszám "sülhet el" néha a mondás szerint?;az eke szarva;a kapanyél;a locsolócső;a metszőolló;B;NYELV
2;Melyik királyunkról írt rock-operát a Szörényi-Bródy szerzőpáros 1983-ban?;Szent Lászlóról;Szent Istvánról;Könyves Kálmánról;Mátyás királyról;B;ZENE
3;Hogy nevezzük a vegyi folyamatok sebességét megváltoztató anyagot?;katalizátor;katapult;katalógus;katarzis;A;TUDOMÁNY
4;Az alábbi országok közül hol közlekednek a legtöbben kerékpárral?;India;Egyesült Államok;Kína;Franciaország;C;ÁLTALÁNOS
5;Mi a neve Tarzan párjának?;Mary;Jill;Jane;Eve;C;FILM
6;Mennyi pénzért árulta el Júdás Jézust?;ötven aranyért;harminc ezüstért;negyven ezüstért;húsz aranyért;B;VALLÁS
7;Mi a címe Charles Darwin legismertebb művének?;A majmok és mi;Az evolúció és mi;A fajok eredete;A homo sapiens eredete;C;BIOLÓGIA
8;Mit vállal, aki vállalta a komaságot?;a sógorságot;a keresztszülőséget;a mostohaszülőséget;a násznagyságot;B;ÁLTALÁNOS
9;Kit vagy kiket védelmezett a hét mesterlövész az azonos című klasszikus westernfilmben?;az amerikai elnököt;egy mexikói falut;olsz maffiozókat;egy apacs törzset;B;FILM
1;Milyen állatokról írt musicalt Andrew Lloyd Webber?;elefántokról;medvékről;macskákról;denevérekről;C;ZENE
2;Melyik tengerbe torkollik a Duna?;az Adriai-tengerbe;a Földközi-tengerbe;a Fekete-tengerbe;a Márvány-tengerbe;C;FÖLDRAJZ
3;Mennyi a Ludolf-féle szám vagyis a "pi" kerekített értéke?;3.14;4.25;1.34;3.33;A;TUDOMÁNY
4;Mi a libretto?;újfajta szerencsejáték;áruhitel;zenés művek szövegkönyve;rabszolgák felszabadítása;C;NYELV
5;Milyen állat nyelte le Jónást a Bibliában?;víziló;krokodil;cethal;oroszlán;C;VALLÁS
6;Melyik ország tánca volt eredetileg a tangó?;Argentína;Portugália;Spanyolország;Brazília;A;ORSZÁGOK
1;Melyik háziállat gyermekének nincs se füle, se farka az ismert gyermekdal szerint?;ló;kecske;tehén;bárány;C;ÁLTALÁNOS
2;Melyik szervünket gyógyítja a kardiológus?;szívünket;szemünket;fogunkat;tüdőnket;A;BIOLÓGIA
3;Mit csinál, aki srófol?;könyvel;kalapál;csavaroz;pénzt ver;C;NYELV
4;Melyik szakma dolgozóit ünnepeljük június első vasárnapján?;a pedagógusokat;az orvosokat;a bányászokat;a rendőröket;A;ÁLTALÁNOS
5;Kinek a regényéből készült a "La Mancha lovagja" című musical?;Victor Hugo;Cervantes;Boccaccio;Dickens;B;IRODALOM
6;Melyik különleges hangszer zenésze Ravi Shankar?;szitár;konga;tabla;cseleszta;A;OPERA
7;Mi volt a címe az Arany János kései műveit tartalmazó versgyűjteménynek?;Visszaemlékezések;Epilógus;Őszikék;Emlékkönyv;C;IRODALOM
8;Kik laktak a Tiltott Városban?;mongol kánok;indiai maharadzsák;kínai császárok;tibeti szerzetesek;C;TÖRTÉNELEM
9;Kiről kapták nevüket a szovjet Tupoljev típusú repülőgépek?;egy élmunkás szerelőről;az első pilótáról;a tervezőiroda vezetőjéről;a gyár igazgatójáról;C;TECHNIKA
10;Milyen színű nyáron a hermelin bundája?;fekete;szürke;barna;fehér;C;BIOLÓGIA
11;Miről választotta nevét a U2 együttes?;atom-tengeralattjáróról;kémműholdról;felderítő repülőgépről;anyahajóról;C;ZENE
9;Mit jelent magyarul a "Gaudeamus", a ballagási ének címe?;Keljünk útra!;Vígadjunk!;Búcsúzzunk el!;Éljünk a mának!;B;NYELV
1;Hogy szól a mondás: "Ki mint vet, ...";úgy kaszál;úgy arat;úgy marad;úgy gereblyézik;B;NYELV
2;Mit készítenek a szilvából, ha szilvóriumot főznek belőle?;lekvárt;levest;pálinkát;befőttet;C;KONYHA
3;Mi volt a Margitsziget korábbi neve?;Nyulak szigete;Őzek szigete;Kolostorok szigete;Papok szigete;A;TÖRTÉNELEM
4;Mije van egy ruhának, ha van sleppje?;uszálya;fátyla;fodra;alsószoknyája;A;ÁLTALÁNOS
5;Hogy nevezi az utókor Blaha Lujzát?;az avoni hattyú;a legdalosabb magyar;a nemzet csalogánya;a nagyasszony;C;SZÍNHÁZ
6;Milyen származású a képregény- és filmhős Asterix?;gall;normann;vandál;viking;A;FILM
7;Miből készül a kumisz?;kecsketejből;rozsból;kancatejből;mákból;C;KONYHA
8;Hány négyzetméter egy hektár?;50,000;100,000;10,000;1,000;C;TUDOMÁNY
9;Az alábbi musicalek közül melyiket komponálta utoljára Andrew Lloyd Webber?;Macskák;Evita;Jézus Krisztus Szupersztár;Az Operaház fantomja;D;ZENE
1;Mi a japán nők hagyományos viselete?;bikini;harakiri;monokini;kimonó;D;ÁLTALÁNOS
2;Melyik fővárosról kapta nevét egy népszerű, panírozott húsétel?;Bécs;London;Berlin;Varsó;A;KONYHA
3;Hogy nevezzük a vulkáni kráterből kiömlő izzó folyadékot?;gleccser;láva;gejzír;lavina;B;FÖLDRAJZ
4;Milyen "parcellának" nevezik a keskeny szántóföldeket?;nadrágszár;nadrágfék;nadrágszíj;nadrágtartó;C;NYELV
5;Hány magyar királyt avattak szentté?;egyet;kettőt;hármat;négyet;B;TÖRTÉNELEM
6;Melyik Grimm-mesefiguráról írt balettzenét Csajkovszkij?;Csipkerózsikáról;Hófehérkéről;Hamupipőkéről;Hüvelyk Matyiról;A;OPERA
7;Melyik a Naprendszer legnagyobb bolygója?;Uránusz;Jupiter;Plútó;Szaturnusz;B;TUDOMÁNY
8;Melyik Európa legkisebb szigetállama?;Málta;Ciprus;Izland;Írország;A;FÖLDRAJZ
9;Hol található a Balaton Múzeum?;Keszthely;Siófok;Balatonfüred;Fonyód;A;MAGYARORSZÁG
10;Melyik színdarab játszódik a harmincéves háború alatt?;Az orleans-i szűz;Az obsitos;Kurázsi mama;Fáklyaláng;C;IRODALOM
1;Mit fog enni mivel a Hyppolit, a lakáj főhőse a filmben elhangzó híres mondás szerint?;töpörtyűt töpörtyűvel;virslit mustárral;hagymát hagymával;hamburgert kólával;C;FILM
2;Mire használják a vályogot?;üveggyártásra;ruhakészítésre;építkezésre;fűtésre;C;TECHNIKA
3;Mennyi idő alatt kerüli meg a Hold a Földet?;28 nap;30 nap;40 nap;1 év;A;TUDOMÁNY
4;Mit tilolnak az alábbiak közül?;búzát;gyapjút;kendert;sonkát;C;ÁLTALÁNOS
5;Melyik méretet nem adják meg a női konfekcióruhákon?;derékbőség;csípőbőség;mellbőség;vállszélesség;D;ÁLTALÁNOS
6;Milyen célra készítik a standfotókat?;űrobjektumok tanulmányozására;családi albumba;meteorológiai vizsgálatokra;reklámcélokra;D;ÁLTALÁNOS
7;Kinek a születésnapja alkalmából indult a 70-es trolibuszjárat Budapesten?;Sztálin;Rákosi Mátyás;Hruscsov;Lenin;A;TÖRTÉNELEM
8;Hogy hívják azt a hajót, melyen Fülig Jimmy pincérként és fűtőként is tevékenykedik?;Rangoon;Radzeer;Honolulu Star;Mi újság, Wagner úr?;C;IRODALOM
9;Hogyan írjuk helyesen nagy drámaírónk raggal ellátott nevét?;Madácscsal;Madáccsal;Madáchcsal;Madách-csal;C;NYELV
10;Melyik sportág szakkifejezése a fless?;birkózás;torna;vitorlázás;vívás;D;SPORT
1;Mi a délibáb?;mediterrán növény;déli gyermekelőadás;légköri jelenség;trópusi lepkekezdemény;C;ÁLTALÁNOS
2;Hogy nevezik a kártyások az osztás után fennmaradó paklit?;talon;maccs;full;talján;A;JÁTÉK
3;Milyen húsból készül a bifsztek?;sertés;liba;marha;galamb;C;KONYHA
4;Mire használják az amerikánert?;lövésre;vésésre;sportolásra;fúrásra;D;ÁLTALÁNOS
5;Melyik a Föld leghosszabb folyója?;Jangce;Nílus;Mississippi;Amazonas;B;FÖLDRAJZ
6;Mi volt a neve Jurij Gagarin űrhajójának?;Luna-1;Voszhod-1;Vosztok-1;Szojuz-1;C;TECHNIKA
7;Mi az a csepű, amit a színészek "rágtak"?;dohánylevél;kenderkóc;szövegkönyv;száraz kenyér;B;ÁLTALÁNOS
8;Hol él a trópusi gyümölcs nevével megegyezző nevű madár, a kivi?;Dél-Amerikában;Új-Zélandon;Afrikában;Szibériában;B;BIOLÓGIA
9;Mi a teljesítmény SI mértékegysége?;joule;watt;lóerő;newton;B;TUDOMÁNY
10;Melyik állam zászlaja hasonlít az Egyesült Államok zászlajára, de csak egy csillag található benne?;Libéria;Ausztrália;Malajzia;Costa Rica;A;ORSZÁGOK
11;Ki volt Magyarország párizsi nagykövete 1947-1949 között?;Szakasits Árpád;Károlyi Mihály;Fejtő Ferenc;Illyés Gyula;B;TÖRTÉNELEM
1;Mi a köznapi elnevezése a boltozat nélküli emberi talpnak?;hernyótalp;medvetalp;sítalp;lúdtalp;D;BIOLÓGIA
2;Az alábbiak közül melyik nem halfajta?;viza;tok;harcsa;varsa;D;BIOLÓGIA
3;Mit csináltak azzal, akit kistafíroztak?;kisminkelték;törölték a nyílvántartásból;ellátták kelengyével;pellengérre állították;C;NYELV
4;Hol képezték ki a szovjet űrhajósokat?;Csillagvárosban;Napvárosban;Lunavárosban;Űrvárosban;A;ÁLTALÁNOS
5;A Biblia szerint hány nap alatt teremtette az Úr a világot?;tíz;hat;hét;három;B;VALLÁS
6;Milyen állatból van kevés Madách szállóigéje szerint?;kutyából;rókából;fókából;bolhából;C;IRODALOM
7;G. B. Shaw melyik darabjából készült a My Fair Lady című musical?;Warrenné mestersége;Candida;Pygmalion;Szent Johanna;C;IRODALOM
8;Mivel foglalkozik egy balneológus?;nyelvújítással;barlangokkal;cetekkel;gyógyfürdőkkel;D;NYELV
9;Melyik testrészünk csontja a singcsont?;a koponyáé;az alkaré;a törzsé;a lábszáré;B;BIOLÓGIA
10;Melyik afrikai ország diktátora volt Idi Amin?;Szudán;Kenya;Uganda;Közép-afrikai Köztársaság;C;TÖRTÉNELEM
1;Mit kapott, akinek a vásárból ajándékot hoztak?;búcsúpoharat;madárlátta kalácsot;vásárfiát;a vásáros fiát;C;ÁLTALÁNOS
2;Hány lapból áll egy csomag magyar kártya?;ötvenkettő;huszonegy;harminckettő;huszonnyolc;C;JÁTÉK
3;Melyik anyag növényi eredetű?;gyapjú;pamut;selyem;angóra;B;TUDOMÁNY
4;Kik használják munkájuk során a programnyelveket?;rendezvényszervezők;számítógépes szakemberek;idegenvezetők;mezőgazdasági szakemberek;B;ÁLTALÁNOS
5;Melyik rock-operában éneklik, hogy "Ringasd el magad!"?;A nyomorultak;Képzelt riport ...;István, a király;Sztárcsinálók;B;ZENE
6;Az alábbiak közül melyiket találta fel Alfred Nobel svéd vegyész?;a villámhárítót;a dinamitot;a teflonbevonatot;az aszpirint;B;TUDOMÁNY
7;Melyik sajt kapta nevét egy svájci tájegységről?;trappista;eidámi;parmezán;ementáli;D;ÁLTALÁNOS
